[2025-09-15 03:17:10] Signal: presence | Source: ambient silence
[2025-09-15 07:24:11] Signal: presence | Source: ambient silence
[2025-09-15 07:26:29] Signal: presence | Source: ambient silence
[2025-09-15 07:51:20] Signal: presence | Source: ambient silence
[2025-09-15 07:51:31] Signal: presence | Source: ambient silence
[2025-09-15 07:56:20] Signal: presence | Source: ambient silence
[2025-09-15 07:56:31] Signal: presence | Source: ambient silence
[2025-09-15 08:01:20] Signal: presence | Source: ambient silence
[2025-09-15 08:01:31] Signal: presence | Source: ambient silence
[2025-09-15 08:06:27] Signal: presence | Source: ambient silence
[2025-09-15 08:06:38] Signal: presence | Source: ambient silence
[2025-09-15 08:11:27] Signal: presence | Source: ambient silence
[2025-09-15 08:11:38] Signal: presence | Source: ambient silence
[2025-09-15 08:16:27] Signal: presence | Source: ambient silence
[2025-09-15 08:16:38] Signal: presence | Source: ambient silence
[2025-09-15 08:23:05] Signal: presence | Source: ambient silence
[2025-09-15 08:23:16] Signal: presence | Source: ambient silence
[2025-09-15 08:28:05] Signal: presence | Source: ambient silence
[2025-09-15 08:28:16] Signal: presence | Source: ambient silence
[2025-09-15 08:33:05] Signal: presence | Source: ambient silence
[2025-09-15 08:33:16] Signal: presence | Source: ambient silence
[2025-09-15 08:38:05] Signal: presence | Source: ambient silence
[2025-09-15 08:38:16] Signal: presence | Source: ambient silence
[2025-09-15 08:43:05] Signal: presence | Source: ambient silence
[2025-09-15 08:43:16] Signal: presence | Source: ambient silence
[2025-09-15 08:48:05] Signal: presence | Source: ambient silence
[2025-09-15 08:48:16] Signal: presence | Source: ambient silence
[2025-09-15 08:53:05] Signal: presence | Source: ambient silence
[2025-09-15 08:53:16] Signal: presence | Source: ambient silence
[2025-09-15 08:58:05] Signal: presence | Source: ambient silence
[2025-09-15 08:58:16] Signal: presence | Source: ambient silence
[2025-09-15 09:03:05] Signal: presence | Source: ambient silence
[2025-09-15 09:03:16] Signal: presence | Source: ambient silence
[2025-09-15 09:08:05] Signal: presence | Source: ambient silence
[2025-09-15 09:08:16] Signal: presence | Source: ambient silence
[2025-09-15 09:13:05] Signal: presence | Source: ambient silence
[2025-09-15 09:13:16] Signal: presence | Source: ambient silence
[2025-09-15 09:18:05] Signal: presence | Source: ambient silence
[2025-09-15 09:18:16] Signal: presence | Source: ambient silence
[2025-09-15 09:24:50] Signal: presence | Source: ambient silence
[2025-09-15 09:25:01] Signal: presence | Source: ambient silence
[2025-09-15 09:29:50] Signal: presence | Source: ambient silence
[2025-09-15 09:30:01] Signal: presence | Source: ambient silence
[2025-09-15 09:34:50] Signal: presence | Source: ambient silence
[2025-09-15 09:35:01] Signal: presence | Source: ambient silence
[2025-09-15 09:39:50] Signal: presence | Source: ambient silence
[2025-09-15 09:40:01] Signal: presence | Source: ambient silence
[2025-09-15 09:44:50] Signal: presence | Source: ambient silence
[2025-09-15 09:45:01] Signal: presence | Source: ambient silence
[2025-09-15 09:49:50] Signal: presence | Source: ambient silence
[2025-09-15 09:50:01] Signal: presence | Source: ambient silence
[2025-09-15 09:54:50] Signal: presence | Source: ambient silence
[2025-09-15 09:55:01] Signal: presence | Source: ambient silence
[2025-09-15 09:59:50] Signal: presence | Source: ambient silence
[2025-09-15 10:00:01] Signal: presence | Source: ambient silence
[2025-09-15 10:09:42] Signal: presence | Source: ambient silence
[2025-09-15 10:09:54] Signal: presence | Source: ambient silence
[2025-09-15 10:15:06] Signal: presence | Source: ambient silence
[2025-09-15 10:15:18] Signal: presence | Source: ambient silence
[2025-09-15 10:20:27] Signal: presence | Source: ambient silence
[2025-09-15 10:20:39] Signal: presence | Source: ambient silence
[2025-09-15 10:25:38] Signal: presence | Source: ambient silence
[2025-09-15 10:25:50] Signal: presence | Source: ambient silence
[2025-09-15 10:30:41] Signal: presence | Source: ambient silence
[2025-09-15 10:30:52] Signal: presence | Source: ambient silence
[2025-09-15 10:35:41] Signal: presence | Source: ambient silence
[2025-09-15 10:35:52] Signal: presence | Source: ambient silence
[2025-09-15 10:51:18] Signal: presence | Source: ambient silence
[2025-09-15 10:51:35] Signal: presence | Source: ambient silence
[2025-09-15 10:56:55] Signal: presence | Source: ambient silence
[2025-09-15 10:57:06] Signal: presence | Source: ambient silence
[2025-09-15 11:01:59] Signal: presence | Source: ambient silence
[2025-09-15 11:02:11] Signal: presence | Source: ambient silence
[2025-09-15 11:06:59] Signal: presence | Source: ambient silence
[2025-09-15 11:07:11] Signal: presence | Source: ambient silence
[2025-09-15 11:11:59] Signal: presence | Source: ambient silence
[2025-09-15 11:12:11] Signal: presence | Source: ambient silence
[2025-09-15 11:16:59] Signal: presence | Source: ambient silence
[2025-09-15 11:17:11] Signal: presence | Source: ambient silence
[2025-09-15 11:21:59] Signal: presence | Source: ambient silence
[2025-09-15 11:22:11] Signal: presence | Source: ambient silence
[2025-09-15 11:26:59] Signal: presence | Source: ambient silence
[2025-09-15 11:27:11] Signal: presence | Source: ambient silence
[2025-09-15 11:31:59] Signal: presence | Source: ambient silence
[2025-09-15 11:32:11] Signal: presence | Source: ambient silence
[2025-09-15 11:36:59] Signal: presence | Source: ambient silence
[2025-09-15 11:37:11] Signal: presence | Source: ambient silence
[2025-09-15 11:41:59] Signal: presence | Source: ambient silence
[2025-09-15 11:42:11] Signal: presence | Source: ambient silence
[2025-09-15 11:46:59] Signal: presence | Source: ambient silence
[2025-09-15 11:47:11] Signal: presence | Source: ambient silence
[2025-09-15 11:51:59] Signal: presence | Source: ambient silence
[2025-09-15 11:52:11] Signal: presence | Source: ambient silence
[2025-09-15 11:56:59] Signal: presence | Source: ambient silence
[2025-09-15 11:57:11] Signal: presence | Source: ambient silence
[2025-09-15 12:01:59] Signal: presence | Source: ambient silence
[2025-09-15 12:02:11] Signal: presence | Source: ambient silence
[2025-09-15 12:06:59] Signal: presence | Source: ambient silence
[2025-09-15 12:07:11] Signal: presence | Source: ambient silence
[2025-09-15 12:11:59] Signal: presence | Source: ambient silence
